"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"Height","0.179","0.150","0.016","0.065","0.128","0.054","0.381"
"No_branches","0.183","0.065","0.032","0.098","0.220","0.155","0.286"
"Nodes_to_flower_inc_coty","0.093","0.262","0.280","0.147","0.119","0.150","0.021"
"No_teeth_lower_floral_leaf","0.178","0.024","0.090","0.153","0.166","0.307","0.122"
"Standard_corolla_l","0.139","0.001","0.252","0.340","0.030","0.016","0.001"
"Cauline_ratio","0.070","0.301","0.274","0.119","0.146","0.029","0.095"
"Julian_days_to_flower","0.158","0.198","0.056","0.077","0.191","0.290","0.093"
"Standard deviation","1.904","1.137","0.924","0.725","0.586","0.478","0.359"
"Proportion of Variance","0.518","0.185","0.122","0.075","0.049","0.033","0.018"
"Cumulative Proportion","0.518","0.703","0.825","0.900","0.949","0.982","1.000"
