"","term","comparison","estimate","conf.low","conf.high","adj.p.value"
"1","Host","Arabidopsis thaliana-No host",1.06481481481482,0.203578103606472,1.92605152602317,0.00555481256853707
"2","Host","Equisetum arvense-No host",0.945652173913047,0.0644072958336902,1.8268970519924,0.0267366241193238
"3","Host","Festuca rubra-No host",1.04032258064516,0.194236334386792,1.88640882690354,0.00595745017196381
"4","Host","Holcus lanatus-No host",1.05,0.100209265253465,1.99979073474654,0.0199346799336766
"5","Host","Plantago lanceolata-No host",0.87903225806452,0.0329460118061468,1.72511850432289,0.0360464632347015
"6","Host","Trifolium repens-No host",2.10185185185185,1.24061514064351,2.9630885630602,3.00091840266248e-10
"7","Host","Equisetum arvense-Arabidopsis thaliana",-0.119162640901772,-0.779312836010149,0.540987554206605,0.998202906718751
"8","Host","Festuca rubra-Arabidopsis thaliana",-0.0244922341696547,-0.636919928732948,0.587935460393639,0.999999744966636
"9","Host","Holcus lanatus-Arabidopsis thaliana",-0.0148148148148151,-0.764019850016059,0.734390220386429,0.999999996246387
"10","Host","Plantago lanceolata-Arabidopsis thaliana",-0.1857825567503,-0.798210251313593,0.426645137812994,0.971146740751422
"11","Host","Trifolium repens-Arabidopsis thaliana",1.03703703703704,0.403843213872676,1.67023086020139,4.98002541914344e-05
"12","Host","Festuca rubra-Equisetum arvense",0.0946704067321171,-0.545588559215445,0.734929372679679,0.999421992715796
"13","Host","Holcus lanatus-Equisetum arvense",0.104347826086957,-0.667773956521867,0.87646960869578,0.999655852085385
"14","Host","Plantago lanceolata-Equisetum arvense",-0.0666199158485279,-0.70687888179609,0.573639050099034,0.999925099046377
"15","Host","Trifolium repens-Equisetum arvense",1.15619967793881,0.49604948283043,1.81634987304718,1.09103541551248e-05
"16","Host","Holcus lanatus-Festuca rubra",0.00967741935483968,-0.72206122807709,0.741416066786769,0.999999999663604
"17","Host","Plantago lanceolata-Festuca rubra",-0.161290322580645,-0.752222589801453,0.429641944640162,0.983109516750498
"18","Host","Trifolium repens-Festuca rubra",1.06152927120669,0.449101576643397,1.67395696576998,1.39629766233718e-05
"19","Host","Plantago lanceolata-Holcus lanatus",-0.170967741935485,-0.902706389367414,0.560770905496445,0.992556986945017
"20","Host","Trifolium repens-Holcus lanatus",1.05185185185185,0.302646816650607,1.80105688705309,0.000887617578139377
"21","Host","Trifolium repens-Plantago lanceolata",1.22281959378734,0.610391899224042,1.83524728835063,3.27712821435178e-07
