"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",5.489763831119,0.0203194959523913,270.172244625632,0
"2","HostArabidopsis thaliana",-0.177577566645508,0.0241437574690313,-7.35500954535694,1.90913474230336e-13
"3","HostEquisetum arvense",-0.111896185812946,0.0244456178628411,-4.57735150900136,4.70899824906702e-06
"4","HostFestuca rubra",-0.112098787457096,0.0237037719548397,-4.72915397898133,2.25457349224252e-06
"5","HostHolcus lanatus",-0.0632602141536867,0.0259155190543897,-2.44101667502475,0.0146459784814719
"6","HostMarchantia polymorpha",-0.0306512420250288,0.0297643883258303,-1.02979579790084,0.303105873744136
"7","HostPinus sylvestris",-0.0295705989372908,0.0267702936651196,-1.10460495156315,0.269330804590931
"8","HostPlantago lanceolata",-0.136988827163047,0.0237828431755466,-5.75998530335087,8.41212601601341e-09
"9","HostTrifolium repens",-0.243714893116712,0.0246577344250981,-9.88391264643701,4.88860049642343e-23
