"","lhs","rhs","estimate","std.error","statistic","p.value"
"1","Arabidopsis thaliana - No host",0,0.507865582124929,0.24184369568076,2.09997445124774,0.450263459660411
"2","Equisetum arvense - No host",0,0.21203445409988,0.254102262999157,0.834445359113482,0.995264816418362
"3","Festuca rubra - No host",0,0.396722445055698,0.242862999648169,1.63352361467338,0.769678080917717
"4","Holcus lanatus - No host",0,0.257829109289658,0.267260770770921,0.964709891937908,0.98748651192472
"5","Marchantia polymorpha - No host",0,-0.1358015401177,0.338056821570232,-0.401712172193179,0.999978674129416
"6","Pinus sylvestris - No host",0,0.0101523714515696,0.290956742586093,0.0348930612892243,0.999999999999921
"7","Plantago lanceolata - No host",0,0.419195300907478,0.242342566581535,1.72976339576086,0.709217458936197
"8","Trifolium repens - No host",0,0.711496319215554,0.239045221838101,2.97640887253304,0.0652228828190985
"9","Equisetum arvense - Arabidopsis thaliana",0,-0.295831128025049,0.166789435599302,-1.77368025116266,0.679740308907744
"10","Festuca rubra - Arabidopsis thaliana",0,-0.111143137069231,0.149107988935359,-0.745386869360928,0.997850655835677
"11","Holcus lanatus - Arabidopsis thaliana",0,-0.250036472835271,0.18622318695401,-1.34267100099098,0.910318803653944
"12","Marchantia polymorpha - Arabidopsis thaliana",0,-0.643667122242628,0.278447787522918,-2.31162591726339,0.314143719589311
"13","Pinus sylvestris - Arabidopsis thaliana",0,-0.497713210673359,0.21887572232331,-2.27395348095375,0.336314146720671
"14","Plantago lanceolata - Arabidopsis thaliana",0,-0.0886702812174505,0.148258812026694,-0.598077645472333,0.999564122692615
"15","Trifolium repens - Arabidopsis thaliana",0,0.203630737090625,0.142805370521798,1.42593192641549,0.87755048410163
"16","Festuca rubra - Equisetum arvense",0,0.184687990955818,0.168264016608164,1.09760835785764,0.971668839396714
"17","Holcus lanatus - Equisetum arvense",0,0.0457946551897779,0.201887746730884,0.226832266600221,0.999999758267577
"18","Marchantia polymorpha - Equisetum arvense",0,-0.347835994217579,0.289158706071897,-1.20292416210734,0.951175982811959
"19","Pinus sylvestris - Equisetum arvense",0,-0.20188208264831,0.232349238740557,-0.868873441301581,0.993755755824952
"20","Plantago lanceolata - Equisetum arvense",0,0.207160846807598,0.167511976480287,1.23669274973887,0.942761725742366
"21","Trifolium repens - Equisetum arvense",0,0.499461865115674,0.162705134432302,3.06973634764728,0.04919764243071
"22","Holcus lanatus - Festuca rubra",0,-0.13889333576604,0.187545031437484,-0.740586592465067,0.997943824595721
"23","Marchantia polymorpha - Festuca rubra",0,-0.532523985173397,0.279333553004266,-1.90640894889296,0.586960792534902
"24","Pinus sylvestris - Festuca rubra",0,-0.386570073604128,0.220001466540861,-1.75712498503882,0.690725096282866
"25","Plantago lanceolata - Festuca rubra",0,0.0224728558517805,0.149915772356165,0.14990321230771,0.999999991053631
"26","Trifolium repens - Festuca rubra",0,0.314773874159856,0.144524867436185,2.17799109415441,0.397863151951202
"27","Marchantia polymorpha - Holcus lanatus",0,-0.393630649407357,0.300787494469015,-1.30866693810605,0.921814671271182
"28","Pinus sylvestris - Holcus lanatus",0,-0.247676737838088,0.246670890611541,-1.00407768919978,0.98380958415953
"29","Plantago lanceolata - Holcus lanatus",0,0.16136619161782,0.186870601743844,0.863518338957434,0.994018938526423
"30","Trifolium repens - Holcus lanatus",0,0.453667209925896,0.182574150148392,2.48483813046461,0.222003475727043
"31","Pinus sylvestris - Marchantia polymorpha",0,0.145953911569269,0.322025811530987,0.453236685827666,0.999946149047527
"32","Plantago lanceolata - Marchantia polymorpha",0,0.554996841025178,0.278881187628722,1.99008346796074,0.527567580757689
"33","Trifolium repens - Marchantia polymorpha",0,0.847297859333254,0.276020679151957,3.06968978533232,0.0496015349308203
"34","Plantago lanceolata - Pinus sylvestris",0,0.409042929455909,0.219426817548241,1.86414283370801,0.616731600370062
"35","Trifolium repens - Pinus sylvestris",0,0.701343947763984,0.215779579121034,3.25027952422963,0.0285794428523679
"36","Trifolium repens - Plantago lanceolata",0,0.292301018308076,0.143648600016381,2.03483374202563,0.495571586631203
