"","pairwise.differences.of.Expert_ID_living.contrast","pairwise.differences.of.Expert_ID_living.estimate","pairwise.differences.of.Expert_ID_living.SE","pairwise.differences.of.Expert_ID_living.df","pairwise.differences.of.Expert_ID_living.t.ratio","pairwise.differences.of.Expert_ID_living.p.value"
"1","E. arctica - E. confusa",-0.369065129822643,0.169061595300399,11.9607689541184,-2.18302169198668,0.249773689094649
"2","E. arctica - E. micrantha",-0.982347626593993,0.293322953128549,12.8113509115427,-3.34903087575107,0.0355738795131257
"3","E. arctica - E. nemorosa",-0.164504816073195,0.186548814272962,12.067549361645,-0.88183254723071,0.898244418534843
"4","E. arctica - E. pseudokerneri",-0.267408036628955,0.215152743458647,11.7192449496961,-1.24287532815193,0.72824444406381
"5","E. confusa - E. micrantha",-0.613282496771351,0.306116514182751,12.7058534326236,-2.00342832992415,0.317941436644802
"6","E. confusa - E. nemorosa",0.204560313749448,0.206081113957571,11.9819380635715,0.992620380495247,0.853693522803336
"7","E. confusa - E. pseudokerneri",0.101657093193688,0.232292204865182,11.7028291522327,0.437625934338555,0.99135099861797
"8","E. micrantha - E. nemorosa",0.817842810520799,0.316110672639394,12.6977583873439,2.58720404373616,0.131725411394179
"9","E. micrantha - E. pseudokerneri",0.714939589965039,0.333790653355759,12.4740342459934,2.14188019579759,0.262648630797412
"10","E. nemorosa - E. pseudokerneri",-0.10290322055576,0.24531266893958,11.7889478501071,-0.419477807650876,0.992636286091815
